round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
1,highExpression,789,0.4090199743085113,6828.3193,"[0.37596882 0.37596882 0.37596882 0.37596882 0.37596882 0.37596882
 0.37596882 0.37596882]",0.45406559000648256,18161.93,"[1.         0.10332217 0.55474225 0.12799025 0.1233239  0.97967782
 0.31328939 0.13665012]"
2,highExpression,789,0.4450566971095657,7429.9287,"[0.40909357 0.40909357 0.40909357 0.40909357 0.40909357 0.40909357
 0.40909357 0.40909357]",0.5099319727605915,14719.7,"[0.43412402 0.70853098 0.81047003 0.65551458 0.06519296 0.13495867
 0.23770491 0.70331622]"
3,highExpression,789,0.4738900589699044,7911.2827,"[0.43559703 0.43559703 0.43559703 0.43559703 0.43559703 0.43559703
 0.43559703 0.43559703]",0.5218093501379091,15979.7,"[0.77881315 0.10336016 0.57012663 0.11328311 0.28266599 0.87984592
 0.82131359 0.28774475]"
4,highExpression,789,0.48863439406596565,8157.4297,"[0.44914994 0.44914994 0.44914994 0.44914994 0.44914994 0.44914994
 0.44914994 0.44914994]",0.6588408815393864,16591.07,"[0.91350809 0.87807463 0.72193979 0.59786983 0.16878162 0.23294606
 0.84615402 0.48554807]"
5,highExpression,789,0.5286831657171635,8826.018,"[0.48596254 0.48596254 0.48596254 0.48596254 0.48596254 0.48596254
 0.48596254 0.48596254]",0.517813011138744,17044.17,"[0.18968579 0.93845588 0.90386044 0.26836025 0.11300891 0.91122695
 0.19865345 0.28451437]"
6,highExpression,789,0.2226338764486046,3720.7515,"[0.20486542 0.20486542 0.20486542 0.20486542 0.20486542 0.20427437
 0.20427437 0.20427437]",0.14093884323203637,3457.81,"[0.11360026 0.14816542 0.17686832 0.19038781 0.07128648 0.12000377
 0.09229801 0.12379136]"
7,highExpression,789,0.190147108485917,3207.539,"[0.17660783 0.17582531 0.17538102 0.1747639  0.17411626 0.17408091
 0.17381699 0.17366486]",0.0497375098701105,1338.09,"[0.07367554 0.03932071 0.03946882 0.04427833 0.04111457 0.04754341
 0.03974137 0.04060472]"
8,highExpression,789,0.13881410577607672,2325.4224,"[0.12803828 0.12803828 0.12803828 0.12803828 0.12803828 0.12686187
 0.12686187 0.12686187]",0.18191956891742128,8561.71,"[0.03920398 0.04028702 0.04056948 0.04266452 0.04354053 0.23600686
 0.42407332 0.4714097 ]"
9,highExpression,789,0.3242741729690515,6850.0034,"[0.37716275 0.37716275 0.37716275 0.37716275 0.21897916 0.21897916
 0.21897916 0.21897916]",0.3702238608745407,8796.24,"[0.48432298 0.45589924 0.33357138 0.14211155 0.36512089 0.31955855
 0.36183654 0.26004009]"
10,highExpression,789,0.24701248707496232,5932.3794,"[0.32663816 0.32663816 0.19385725 0.19385725 0.19385725 0.19385725
 0.19385725 0.19385725]",0.3826213995136796,9555.68,"[0.44132479 0.1735636  0.22125237 0.47152147 0.52613792 0.18364954
 0.42051258 0.37566492]"
