round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,active,123,8,326,4588.701562154269,0.05942364981715276,0.7304992066724194,1.7286037037508471e-09,0.4450360090324659,0.001202366329375885
2,active,123,16,318,3389.8137490149265,0.4867061013069316,0.7265802923928228,2.3265489923454134e-09,0.3533230049723239,0.011837860775607952
3,active,123,24,310,3379.8333547885545,0.4897241632877336,0.7265471267021111,2.3323550261018725e-09,0.3528100539341398,0.01196983462392105
4,active,123,32,302,3359.4573671095627,0.4958582129699567,0.7264776133772012,2.3445684421370323e-09,0.35277039754784423,0.011980089941005906
5,active,123,40,294,3384.106694416454,0.4884329987539827,0.7265618779529743,2.329770967516e-09,0.35338520191464196,0.01182194377402672
6,active,123,48,286,3355.381677479258,0.4970807193654738,0.7550785796405954,2.368632260332829e-10,0.5304807139194396,7.412793231334919e-05
7,active,123,56,278,3337.434889772973,0.5024462178451816,0.7598109114656716,1.572765319932734e-10,0.6049411726922593,3.2679774385555795e-06
8,active,123,64,270,3277.3961439723453,0.5201866745055149,0.7798764268890602,2.482864093642426e-11,0.7246137553470952,2.695420719722068e-09
9,active,123,72,262,3266.168954694766,0.5234683822359893,0.7820230355157205,2.014899111439563e-11,0.8030680621233365,2.2778300184601087e-12
10,active,123,80,254,3264.937371289466,0.5238276886839117,0.7816735986991078,2.084908979301889e-11,0.8161825092891545,5.106563372159932e-13
11,active,123,88,246,3278.6398603118837,0.5198224433444324,0.7795430162890175,2.564187913329875e-11,0.7855209259598794,1.4264523802887187e-11
12,active,123,96,238,3258.3853998583995,0.5257369056769227,0.7838535821382698,1.6830634163515612e-11,0.8108559939365889,9.50457003234972e-13
13,active,123,104,230,2831.657314048367,0.6418245489609689,0.8346524944913578,5.019730472719872e-14,0.8485931910905392,7.156896277092894e-15
14,active,123,112,222,2712.0520353339616,0.6714431968200665,0.8443279462957994,1.3252091479864522e-14,0.8381188079004395,3.1464705517259646e-14
15,active,123,120,214,2713.392948403732,0.671118221473132,0.8429733678679326,1.605424001810789e-14,0.8341282878938985,5.38210227788043e-14
16,active,123,128,206,2714.869227499686,0.6707602538783137,0.8427044768962881,1.6673740919447193e-14,0.8280098288451595,1.193148335731262e-13
17,active,123,136,198,2715.036593996239,0.670719658625478,0.8427019686089439,1.6679625374433607e-14,0.8283233505819276,1.1463285970137907e-13
18,active,123,144,190,2715.1899482775057,0.670682459881045,0.8426966711368044,1.6692059760006858e-14,0.8303187140725956,8.868228472588284e-14
19,active,123,152,182,2714.8162093509395,0.6707731130696237,0.842648740155444,1.6804966088941512e-14,0.838019702401785,3.189256061305077e-14
20,active,123,160,174,2715.421812337156,0.6706262132364452,0.842656114427307,1.6787548104636274e-14,0.856342567402012,2.2231761729539455e-15
