round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,log_likelihood,123,8,326,4588.701562154269,0.05942364981715276,0.7304992066724194,1.7286037037508471e-09,0.4450360090324659,0.001202366329375885
2,log_likelihood,123,16,318,4740.747763328047,-0.003940850191541889,0.30228454121746995,0.032875183536704426,0.3198111089366264,0.02357224015970871
3,log_likelihood,123,24,310,4511.973469847286,0.09061559332220892,0.7076694466981572,9.112128893129986e-09,0.7446827828663662,5.642568002573003e-10
4,log_likelihood,123,32,302,4417.5450569033,0.1282812168759836,0.40683968463118714,0.003367700177175803,0.7802397011483695,2.3970372165561085e-11
5,log_likelihood,123,40,294,2735.9983530553413,0.6656155357678997,0.8204372707808927,3.064035678575404e-13,0.8463141772890341,9.969965280458654e-15
6,log_likelihood,123,48,286,2689.381849256991,0.6769130866309172,0.8251541246618028,1.7118172894417623e-13,0.8463550906910687,9.911276851697858e-15
7,log_likelihood,123,56,278,2646.9103303094516,0.6870370793061598,0.832577212241432,6.605582354423218e-14,0.846879101278747,9.188064924288475e-15
8,log_likelihood,123,64,270,2646.533696264852,0.6871261371810166,0.8317018794308232,7.40824884826466e-14,0.8546710174194233,2.877180247120598e-15
9,log_likelihood,123,72,262,2686.7127169810797,0.6775540768825155,0.825337200804183,1.6729868405167424e-13,0.8480496944081821,7.749456995960903e-15
10,log_likelihood,123,80,254,2687.3901561885655,0.6773914506008769,0.8251775220989904,1.7068074188578462e-13,0.8590409234550457,1.4560555655381089e-15
11,log_likelihood,123,88,246,2695.6070280801,0.6754156409748788,0.824112534634959,1.9495439707155812e-13,0.8575264596639001,1.848406609529775e-15
12,log_likelihood,123,96,238,2721.5728022005037,0.6691323241915732,0.8204011492160534,3.077524852674209e-13,0.8540847655992654,3.147138010826017e-15
13,log_likelihood,123,104,230,2805.627162726579,0.648379373524306,0.808872335224676,1.1919381390111033e-12,0.8541604831931724,3.1109633176512e-15
14,log_likelihood,123,112,222,2828.9203817690995,0.6425166017700128,0.8058027426338071,1.6833513176005197e-12,0.8546078522903893,2.9051712119349413e-15
15,log_likelihood,123,120,214,2805.808777428055,0.648333849626588,0.8089632761597118,1.1796987939342424e-12,0.8617666309540288,9.410689090117925e-16
16,log_likelihood,123,128,206,2839.5832482203245,0.6398166448962321,0.8043770880003187,1.9719940115898782e-12,0.8623499701244836,8.561112026257171e-16
17,log_likelihood,123,136,198,2837.5245988365987,0.6403387091521264,0.8047431157045272,1.893708141879299e-12,0.8581595423146205,1.6735066057322937e-15
18,log_likelihood,123,144,190,2811.493479203325,0.6469074214547248,0.8114670103100173,8.859621291651874e-13,0.8589711801467693,1.472231622807423e-15
19,log_likelihood,123,152,182,2698.9426764335744,0.674611837483913,0.83780102241443,3.285628298555557e-14,0.8636297803766749,6.945722741819415e-16
20,log_likelihood,123,160,174,2693.8493958186646,0.6758387842163445,0.837265285740947,3.53355919998977e-14,0.8596947290736251,1.3124189059542925e-15
