round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
1,highExpression,999,0.8817183694818581,14719.708,"[0.81047047 0.81047047 0.81047047 0.81047047 0.81047047 0.81047047
 0.81047047 0.81047047]",0.6392414268259271,16591.07,"[0.10332217 0.55474225 0.11300891 0.91350809 0.72193979 0.84615402
 0.5681753  0.87984592]"
2,highExpression,999,0.6661832035293755,11121.49,"[0.61235178 0.61235178 0.61235178 0.61235178 0.61235178 0.61235178
 0.61235178 0.61235178]",0.6429074892559408,17792.84,"[0.97967782 0.85711871 0.77881315 0.1233239  0.13665012 0.21029924
 0.93845588 0.70331622]"
3,highExpression,999,0.6552298293263072,10938.631,"[0.60228351 0.60228351 0.60228351 0.60228351 0.60228351 0.60228351
 0.60228351 0.60228351]",0.4986861716382713,16893.76,"[0.93017427 0.37211188 0.12799025 0.18968579 0.82131359 0.19865345
 0.54163847 0.48554807]"
4,highExpression,999,0.6051361944027205,10102.351,"[0.55623772 0.55623772 0.55623772 0.55623772 0.55623772 0.55623772
 0.55623772 0.55623772]",0.6450103723764615,18161.93,"[1.         0.28451437 0.59786983 0.57012663 0.26836025 0.87807463
 0.91122695 0.23294606]"
5,highExpression,999,0.5825517042128705,10263.725,"[0.56512301 0.56512301 0.56512301 0.56512301 0.56512301 0.56512301
 0.56512301 0.32796434]",0.4087469425269951,16415.85,"[0.13495867 0.11328311 0.06519296 0.70853098 0.28774475 0.5709195
 0.90386044 0.22125237]"
6,highExpression,999,0.29872185700700277,4987.43,"[0.27460904 0.27460904 0.27460904 0.27460904 0.27460904 0.27454067
 0.27454067 0.27454067]",0.32828817092641327,9555.68,"[0.42051258 0.47152147 0.37566492 0.18364954 0.52613792 0.17686832
 0.11360026 0.14612984]"
7,highExpression,999,0.2586271070162574,4317.969,"[0.23774837 0.23774837 0.23774837 0.23774837 0.23774837 0.23774837
 0.23774837 0.23758972]",0.13939370895840042,6294.92,"[0.08729689 0.07506471 0.12027301 0.12000377 0.06168618 0.09032355
 0.12379136 0.34659973]"
8,highExpression,999,0.37587368625774537,6294.9336,"[0.34660048 0.34660048 0.34660048 0.34660048 0.34660048 0.34660048
 0.34660048 0.33780418]",0.38177934775746186,8796.24,"[0.45589924 0.42407332 0.48432298 0.33357138 0.14211155 0.23600686
 0.4714097  0.26004009]"
9,highExpression,999,0.3092971968343377,5163.513,"[0.28430421 0.28430421 0.28430421 0.28430421 0.28430421 0.28430421
 0.28430421 0.28430421]",0.06373259575010505,1168.23,"[0.06181887 0.05378613 0.05431361 0.05838917 0.06432301 0.05620108
 0.06149181 0.05833741]"
10,highExpression,999,0.2708212529243441,4722.8364,"[0.26004045 0.26004045 0.26004045 0.26004045 0.26004045 0.26004045
 0.26004045 0.17121545]",0.3306698910325427,8015.31,"[0.44132479 0.36183654 0.1735636  0.36512089 0.432829   0.31955855
 0.29804487 0.03932071]"
