round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,active,999,8,326,3962.245790235224,-0.9770989270259784,0.7195714390028215,3.908820998444952e-09,0.5533189575991591,3.078774643951618e-05
2,active,999,16,318,2801.153855605029,0.01185767450153652,0.721328861302643,3.4370245389656224e-09,0.5649803930649842,1.916546019559279e-05
3,active,999,24,310,2750.3759122684783,0.04735808334078928,0.7213021133481072,3.4437849900097516e-09,0.56615639366161,1.8252631399476442e-05
4,active,999,32,302,2533.716735612576,0.19153412146032145,0.7208660263400164,3.555785945584567e-09,0.5775911327977347,1.1244976830825954e-05
5,active,999,40,294,2573.364940705325,0.16603401991825695,0.7209971890141796,3.521743671517938e-09,0.5707906678991325,1.5031892855412237e-05
6,active,999,48,286,2392.2966413965346,0.27926496076949636,0.7215172194338813,3.389770310517666e-09,0.570371243637763,1.5300188906847246e-05
7,active,999,56,278,2270.194768477939,0.3509594781208929,0.7470781402686921,4.636884937738287e-10,0.6400844919923276,5.580502103212917e-07
8,active,999,64,270,2345.6843313821155,0.3070774278102144,0.7206737775382661,3.6062429202724294e-09,0.43813248761022877,0.0014613021712283976
9,active,999,72,262,2337.8711035067477,0.3116858443948123,0.7202303862055315,3.725195895343175e-09,0.41016484671296194,0.003093199998694312
10,active,999,80,254,2313.0736677077284,0.32621008825501896,0.7209591400098143,3.531587272246873e-09,0.3666171276994428,0.008827092767814397
11,active,999,88,246,2267.2515879301736,0.35264127670780054,0.7296024263813558,1.8510359111431022e-09,0.45980335077281875,0.0007812792863283075
12,active,999,96,238,2388.663968775361,0.2814521532363947,0.7045820397832608,1.1272550112925708e-08,0.24003327334945018,0.09315050494884765
13,active,999,104,230,2402.400654151194,0.2731639659691003,0.7021286997343774,1.3323401168057597e-08,0.20228177653016025,0.1588996242988888
14,active,999,112,222,2394.1013417606687,0.2781771346360419,0.7108400264593024,7.302800229177943e-09,0.38356126520682904,0.0059664379233857895
15,active,999,120,214,2395.34070376802,0.2774296045503911,0.7121059504150029,6.679602646595242e-09,0.395814210104198,0.004437653645775156
16,active,999,128,206,2417.617697192069,0.26392710225486715,0.7086151438128475,8.532559608706315e-09,0.37233004874284215,0.0077524745913324315
17,active,999,136,198,2413.1794485528717,0.26662717835526306,0.710329252135536,7.56940538318219e-09,0.35700452753116707,0.010926808360320625
18,active,999,144,190,2414.997845689109,0.26552152872966184,0.7104137612354823,7.524671884259177e-09,0.3571180069753511,0.010899712421893222
19,active,999,152,182,2414.8263480643886,0.2656258409061504,0.7114723420282495,6.984984724401579e-09,0.3615110088592949,0.009894278562116948
20,active,999,160,174,2414.478775001017,0.26583722696046896,0.710958748086879,7.242109845318728e-09,0.3692287321675806,0.008320833181637817
