round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
1,highExpression,456,1.0119449966566518,16893.756,"[0.93017404 0.93017404 0.93017404 0.93017404 0.93017404 0.93017404
 0.93017404 0.93017404]",0.6620259426816584,15979.7,"[0.85711871 0.81047003 0.5681753  0.87984592 0.16878162 0.59786983
 0.70331622 0.28266599]"
2,highExpression,456,0.7009062093462565,11701.168,"[0.64426897 0.64426897 0.64426897 0.64426897 0.64426897 0.64426897
 0.64426897 0.64426897]",0.5638515881608273,18161.93,"[0.31328939 0.43412402 1.         0.84615402 0.48554807 0.13495867
 0.72193979 0.21029924]"
3,highExpression,456,0.6364097133178416,10624.441,"[0.58498416 0.58498416 0.58498416 0.58498416 0.58498416 0.58498416
 0.58498416 0.58498416]",0.624668974674174,17792.84,"[0.1233239  0.90386044 0.37211188 0.97967782 0.26836025 0.23294606
 0.80202985 0.91122695]"
4,highExpression,456,0.6326529436964333,10561.725,"[0.58153096 0.58153096 0.58153096 0.58153096 0.58153096 0.58153096
 0.58153096 0.58153096]",0.324165217173579,14144.75,"[0.11300891 0.28774475 0.18968579 0.57012663 0.10332217 0.23770491
 0.10336016 0.77881315]"
5,highExpression,456,0.571838926588122,9555.674,"[0.52613758 0.52613758 0.52613758 0.52613758 0.52613758 0.52613758
 0.52411153 0.52411153]",0.3146524882502108,8563.74,"[0.18364954 0.32796349 0.47152147 0.42051258 0.33564605 0.37566492
 0.12379136 0.07506471]"
6,highExpression,456,0.5218539783755779,9313.236,"[0.51278891 0.51278891 0.51278891 0.51278891 0.51278891 0.51278891
 0.51278891 0.24795922]",0.478887996903382,17044.17,"[0.87807463 0.93845588 0.91350809 0.19865345 0.13665012 0.11328311
 0.28451437 0.05838917]"
7,highExpression,456,0.20676996001006662,3454.602,"[0.19021118 0.19021118 0.19021118 0.19021118 0.19021118 0.19021118
 0.18961352 0.18961352]",0.20264695068544783,6058.3,"[0.19038781 0.17686832 0.20486589 0.14612984 0.11360026 0.18264028
 0.33357138 0.14211155]"
8,highExpression,456,0.2427934333277781,4319.6646,"[0.23784171 0.23784171 0.23784171 0.23784171 0.23784171 0.19872871
 0.19872871 0.19872871]",0.39034684625485694,8796.24,"[0.45589924 0.23600686 0.42407332 0.48432298 0.4714097  0.36512089
 0.1735636  0.26004009]"
9,highExpression,456,0.24732801781735397,4835.456,"[0.26624131 0.26624131 0.26624131 0.26624131 0.26624131 0.16297693
 0.16271147 0.16184504]",0.26895803979575844,8015.31,"[0.432829   0.44132479 0.36183654 0.31955855 0.29804487 0.03932071
 0.04060472 0.04427833]"
10,highExpression,456,0.1652171965096019,2763.2253,"[0.15214382 0.15214382 0.15214382 0.15214382 0.15214382 0.15214382
 0.15214382 0.14992684]",0.06137094232285406,1144.73,"[0.05899428 0.05511198 0.06012412 0.05757703 0.06302909 0.05915781
 0.05551668 0.04178355]"
