round,strategy,seed,train_size,unlabeled_size,rmse,r2,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
1,log_likelihood,789,8,326,2797.8529207707284,0.5083087754628293,0.8427327784331728,1.660748198833105e-14,0.3523843364206642,0.012080321749225346
2,log_likelihood,789,16,318,3096.393399678,0.39778029421561945,0.701269484750855,1.412104692543145e-08,0.4630696134905281,0.0007083568532041077
3,log_likelihood,789,24,310,2597.4798721874245,0.576213538800941,0.8453643394037943,1.1429095498024071e-14,0.721401483186312,3.418732576681057e-09
4,log_likelihood,789,32,302,2516.503584822637,0.6022247081286378,0.8511464183427742,4.904661501272943e-15,0.8342345955312004,5.306662339163445e-14
5,log_likelihood,789,40,294,2036.0895887061408,0.7396027084683835,0.8778417964503996,5.848585847398443e-17,0.8020377534225652,2.5496322377085032e-12
6,log_likelihood,789,48,286,1888.5852927908134,0.7759649838033209,0.8957691607930752,1.5977458137879397e-18,0.8172886903188837,4.47720513843251e-13
7,log_likelihood,789,56,278,1613.9489881770417,0.8363853061159271,0.9216092361623005,2.3083548470121344e-21,0.8331294857113258,6.142435274515083e-14
8,log_likelihood,789,64,270,1485.4149473539046,0.8614079636749394,0.9306571888923644,1.348632869850136e-22,0.8338785251978835,5.5633729965344346e-14
9,log_likelihood,789,72,262,1517.6128244356319,0.8553346000653658,0.9307323620100137,1.3151052943664902e-22,0.8364741812020734,3.9324064418963096e-14
10,log_likelihood,789,80,254,1620.2728661995595,0.8351006230834355,0.9258232684361356,6.431499939242038e-22,0.8441968957735593,1.3501386822741844e-14
11,log_likelihood,789,88,246,1656.0324004318397,0.8277416212739732,0.9237897701400373,1.2025564939176795e-21,0.8419387897970869,1.8564747506601752e-14
12,log_likelihood,789,96,238,1688.3038445025807,0.8209625370228018,0.9213823458451682,2.467733319177297e-21,0.8419944140206306,1.8420778740142074e-14
13,log_likelihood,789,104,230,1790.2603447968138,0.7986854891728342,0.9153724607179854,1.3494400913749516e-20,0.8442740186581694,1.3354142559958222e-14
14,log_likelihood,789,112,222,1872.622315466024,0.7797362214359076,0.9092584019731347,6.709269409019021e-20,0.8445292378922399,1.2877683827299786e-14
15,log_likelihood,789,120,214,1807.5369390562607,0.7947812400639872,0.9136052140802452,2.1714593664257162e-20,0.8440891858464622,1.3709613669140988e-14
16,log_likelihood,789,128,206,1864.1524823723826,0.7817242127097225,0.9148363488525573,1.5606291222763233e-20,0.8438007726850112,1.428231886356506e-14
17,log_likelihood,789,136,198,1869.3140771018202,0.7805137849803921,0.9144677779702499,1.7237394845942016e-20,0.8349482110159849,4.825663807078096e-14
18,log_likelihood,789,144,190,1857.2231297194573,0.7833439286927251,0.9176677277885751,7.161451936855079e-21,0.8325326294920072,6.64438329018112e-14
19,log_likelihood,789,152,182,1862.0349804628213,0.7822198126064503,0.9176348339952007,7.227707644900604e-21,0.8304295207151328,8.741870235046124e-14
20,log_likelihood,789,160,174,1852.7230697485195,0.7843925739800944,0.917452993250789,7.60466788157037e-21,0.8315512700930991,7.555377711169846e-14
