strategy,n_seeds,final_pearson_mean,final_pearson_std,final_spearman_mean,final_spearman_std,final_r2_mean,final_r2_std,final_rmse_mean,final_rmse_std,final_train_size
highExpression,5,0.8086488292339405,0.0746658166402991,0.5536607649694455,0.20846140203036373,0.5645847953772231,0.1873646487924191,2338.61452307906,303.0858902691836,160
random,5,0.8424579083522812,0.05398332810566293,0.8159014051000766,0.06671205279458753,0.6655503292007261,0.12046655971082598,2071.9046364168707,348.2429919114048,160
log_likelihood,5,0.8357013496264614,0.04959822360397026,0.8111368178789198,0.055678547242533606,0.6489993972306124,0.11950546832022499,2127.809132101923,328.21694693165847,160
