round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
3,random,123,0.07652377302956521,2164.327,"[0.11240946 0.04056964 0.06982515 0.06055318 0.04448892 0.05891236
 0.11916833 0.05679469]",0.07830841730689357,4233.07,"[0.04450518 0.04189643 0.05155454 0.04341774 0.04107052 0.0456609
 0.2330738  0.07466607]"
4,random,123,0.12118527333616985,3218.1086,"[0.11177619 0.05651337 0.15952463 0.13481927 0.11177619 0.07227647
 0.06726657 0.17718979]",0.0798594667582586,2321.06,"[0.09696492 0.04051221 0.10800449 0.04041586 0.06909123 0.05019841
 0.05426571 0.12779809]"
5,random,123,0.10739343131334184,5565.794,"[0.04123308 0.0497464  0.07466629 0.09073913 0.05322564 0.12683172
 0.04682724 0.30645388]",0.18047057500079974,15367.79,"[0.04266452 0.0374861  0.07790417 0.05399481 0.05036084 0.17652144
 0.04201426 0.84615402]"
6,random,123,0.22652523215743547,8016.3013,"[0.03995934 0.04277963 0.10800444 0.44137937 0.44137937 0.44137937
 0.06156883 0.08931526]",0.2731775082839444,16549.64,"[0.05922829 0.04133536 0.06975745 0.91122695 0.5709195  0.23770491
 0.06243555 0.05621759]"
7,random,123,0.17777434316331547,9043.001,"[0.05485472 0.04229812 0.49790969 0.05426585 0.07236695 0.06200198
 0.46702198 0.05655406]",0.22451289185282058,16415.85,"[0.04839794 0.04421612 0.90386044 0.04165747 0.06848116 0.06144171
 0.42051258 0.06240031]"
8,random,123,0.26505129304250213,9964.609,"[0.44745772 0.10180784 0.44745772 0.04277725 0.0528754  0.54865366
 0.2330736  0.0749659 ]",0.14328769292015225,6438.58,"[0.19038781 0.05869475 0.18264028 0.04724993 0.04624509 0.10332217
 0.35450968 0.0706241 ]"
9,random,123,0.29347819117211993,9065.934,"[0.04489773 0.05176132 0.13869104 0.43282915 0.07107142 0.49917237
 0.49917237 0.42051243]",0.2660833382950943,14144.75,"[0.04741126 0.05361765 0.04060472 0.36183654 0.07036862 0.26836025
 0.77881315 0.33564605]"
10,random,123,0.1606667009406915,7216.326,"[0.34259302 0.04566041 0.39733256 0.07628525 0.04866138 0.04372924
 0.07553294 0.15167644]",0.12382436217012929,5516.42,"[0.09229801 0.05189537 0.26004009 0.06229569 0.04270306 0.0487239
 0.04885769 0.30373534]"
11,random,123,0.10901740703246197,5335.8223,"[0.06432287 0.09229772 0.0573693  0.04622658 0.29379159 0.04971072
 0.14997028 0.04797633]",0.07317636418374561,1648.43,"[0.06181887 0.09032355 0.06022598 0.05273338 0.09076293 0.04975958
 0.07367554 0.05880653]"
12,random,123,0.05092296337351527,1139.1373,"[0.05947718 0.04722329 0.02318474 0.04877775 0.04341795 0.04341795
 0.06272116 0.04624476]",0.05535558095071972,1137.1,"[0.06260898 0.05842771 0.05688933 0.04137611 0.04735345 0.04109971
 0.05539114 0.04391384]"
13,random,123,0.2132802384297327,9146.557,"[0.12779803 0.22611531 0.03790717 0.060521   0.50361149 0.03790717
 0.50361149 0.07089607]",0.3005585664891735,12868.29,"[0.24505876 0.30692773 0.03847774 0.04986309 0.70853098 0.05180617
 0.70331622 0.10619301]"
14,random,123,0.0680006553291566,1658.3826,"[0.04973553 0.06181524 0.05659175 0.08888093 0.05112495 0.09131092
 0.05785658 0.04273061]",0.07579416726936589,2248.29,"[0.04511745 0.06201158 0.03556395 0.10431766 0.05708369 0.12379136
 0.06655075 0.06292008]"
15,random,123,0.06097153752493099,1681.9929,"[0.04739736 0.04236885 0.04171017 0.07162209 0.09261091 0.07162209
 0.03652075 0.04450529]",0.07171194587962798,2899.27,"[0.06132443 0.06011421 0.04028702 0.06362264 0.15963447 0.05519127
 0.03798605 0.04917759]"
16,random,123,0.1368707458500386,9711.843,"[0.53473627 0.03235352 0.0463113  0.06022602 0.18642902 0.06673569
 0.04684122 0.03285341]",0.16791602208700415,13111.82,"[0.72193979 0.04142401 0.04336488 0.04232315 0.24130585 0.05587347
 0.04791231 0.0406361 ]"
17,random,123,0.06836214978694205,1986.3098,"[0.05268986 0.10936667 0.0630713  0.07795531 0.04507888 0.04367227
 0.05959557 0.05127491]",0.07678686886850648,3419.13,"[0.04358513 0.18825808 0.06149181 0.0705349  0.04153964 0.05207651
 0.05129466 0.05587567]"
18,random,123,0.19298178133776556,9954.714,"[0.04819573 0.06012413 0.04264011 0.08077564 0.04557437 0.54810881
 0.04557437 0.54810881]",0.23354963615816665,17792.84,"[0.04721139 0.06302909 0.04434055 0.05388524 0.04941435 0.43412402
 0.04573743 0.97967782]"
19,random,123,0.18810632244726241,10315.187,"[0.10213716 0.04395728 0.05686706 0.47140986 0.049655   0.05124056
 0.56795652 0.04002661]",0.14271601719912055,10075.19,"[0.12000377 0.04182981 0.04187    0.14211155 0.04542854 0.05284736
 0.55474225 0.05063669]"
20,random,123,0.15550235651602054,10301.08,"[0.04796148 0.04765345 0.09402662 0.18651386 0.06157658 0.06186441
 0.07671876 0.56717981]",0.08185737419300504,2451.11,"[0.05297124 0.04727471 0.07276815 0.11360026 0.05899428 0.0610238
 0.06035152 0.13495867]"
1,random,456,0.43811583972956236,16893.756,"[0.24936809 0.27038583 0.93017404 0.11389758 0.52613822 0.93017404
 0.15982854 0.04174231]",0.14977342323524945,7637.32,"[0.06655075 0.0409114  0.10336016 0.05361765 0.42051258 0.28774475
 0.09076293 0.03790676]"
2,random,456,0.21058104373868858,7999.013,"[0.04643064 0.35012863 0.35012863 0.10062074 0.44042749 0.08995282
 0.0407672  0.1300629 ]",0.17314631208585524,7861.01,"[0.0581904  0.432829   0.26004009 0.04153964 0.28266599 0.08214105
 0.05273338 0.06310122]"
3,random,456,0.14064575179123565,8545.295,"[0.05968602 0.06970549 0.0861167  0.09457573 0.47050588 0.07042202
 0.09457573 0.08865851]",0.1347017750085628,8796.24,"[0.04201426 0.05708369 0.19447052 0.05915781 0.48432298 0.05214754
 0.05551668 0.04582332]"
4,random,456,0.10670975943526258,6421.3457,"[0.06322156 0.04586604 0.05273316 0.08655356 0.05693627 0.35356076
 0.05856077 0.06726385]",0.05407992420426035,1061.16,"[0.04839794 0.04434055 0.04653635 0.04088332 0.04728297 0.05833741
 0.05347339 0.05842771]"
5,random,456,0.2036160857532226,7282.668,"[0.40098536 0.09076305 0.04091148 0.0642634  0.40098536 0.40098536
 0.04107051 0.0573374 ]",0.30411613407704247,16415.85,"[0.90386044 0.17642563 0.04434826 0.04240188 0.23770491 0.72193979
 0.05207651 0.05757703]"
6,random,456,0.11714371294365782,8996.513,"[0.0379069  0.06659873 0.04290822 0.04127526 0.49535004 0.06659873
 0.0524475  0.05833725]",0.06819877956256079,2052.46,"[0.04833958 0.06022598 0.04262708 0.06156835 0.11300891 0.04490051
 0.07244384 0.05838917]"
7,random,456,0.1524802166366081,8128.502,"[0.44755717 0.04153945 0.34643527 0.08215676 0.0418962  0.06156821
 0.05786709 0.04225142]",0.219089048253594,16549.64,"[0.91122695 0.04268654 0.36183654 0.07367554 0.04162058 0.0531568
 0.07946898 0.04741126]"
8,random,456,0.11870946990649964,9064.176,"[0.05620908 0.05836319 0.06655095 0.49907558 0.04211273 0.05836319
 0.04262683 0.04963497]",0.08860382158218635,4873.94,"[0.06848116 0.06432301 0.06126717 0.26836025 0.04219155 0.05378613
 0.04941435 0.04372938]"
9,random,456,0.23587647181508417,8796.23,"[0.04877403 0.47600486 0.06776343 0.06848108 0.06178365 0.47600486
 0.05139595 0.48432245]",0.3122381972287378,17792.84,"[0.04090259 0.5681753  0.05388524 0.06035152 0.07389193 0.97967782
 0.06327687 0.45589924]"
10,random,456,0.1601219804599442,9546.98,"[0.04175855 0.04766631 0.35156915 0.52565892 0.0566549  0.04312307
 0.05361749 0.05741733]",0.16921511491737745,10858.47,"[0.04156166 0.0487239  0.31955855 0.59786983 0.07790417 0.05553319
 0.0430571  0.06012412]"
11,random,456,0.27771297314757903,9647.865,"[0.53121366 0.47332503 0.07619339 0.53121366 0.11296717 0.06554755
 0.12210616 0.12961079]",0.31164727846116974,15979.7,"[0.85711871 0.18364954 0.06132443 0.87984592 0.03946882 0.04505193
 0.15963447 0.06562133]"
