round,strategy,seed,top_10_ratio_intersection_pred,best_value_pred,normalized_predictions_pred,top_10_ratio_intersection_true,best_value_true,normalized_predictions_true
2,log_likelihood,123,0.1988445168513156,5900.5674,"[0.32401417 0.32488658 0.23499251 0.1177711  0.11671999 0.11639547
 0.11077577 0.11665831]",0.07741919388017811,2926.84,"[0.16115248 0.1152796  0.04970452 0.05869475 0.04727471 0.0374861
 0.03974137 0.0599727 ]"
3,log_likelihood,123,0.0601071257300359,1810.6082,"[0.04823432 0.07779146 0.03790685 0.0943564  0.03869428 0.03910215
 0.00622304 0.0996925 ]",0.15277077107920758,7861.01,"[0.04142401 0.05361765 0.04648405 0.432829   0.04721139 0.04075999
 0.04056948 0.42051258]"
4,log_likelihood,123,0.24902114384771804,7606.9023,"[0.41625876 0.41883777 0.19865335 0.19865335 0.10705766 0.19865335
 0.09442303 0.19865335]",0.45271872650027184,16549.64,"[0.48432298 0.12379136 0.80202985 0.91122695 0.07466607 0.28266599
 0.07946898 0.5709195 ]"
5,log_likelihood,123,0.232794533770783,10045.351,"[0.07455729 0.07564115 0.55309929 0.08382265 0.0773325  0.55309929
 0.07849013 0.21582484]",0.19746151121140326,17792.84,"[0.05558936 0.04965882 0.97967782 0.05266456 0.07244384 0.12799025
 0.04839794 0.06562133]"
6,log_likelihood,123,0.6019500592625934,10049.16,"[0.55330905 0.55330905 0.55330905 0.55330905 0.55330905 0.55330905
 0.55330905 0.55330905]",0.6687605597153815,18161.93,"[0.77881315 0.70853098 0.28774475 0.87984592 0.59786983 0.1233239
 1.         0.54163847]"
7,log_likelihood,123,0.43665348284616434,10644.016,"[0.58606192 0.58606192 0.58606192 0.24505866 0.58606192 0.28585103
 0.09073885 0.24505866]",0.36944477955465393,16415.85,"[0.23294606 0.13665012 0.84615402 0.13874627 0.90386044 0.19447052
 0.06369312 0.20021165]"
8,log_likelihood,123,0.439829556568477,10429.293,"[0.57423924 0.04573687 0.57423924 0.57423924 0.07721683 0.57423924
 0.57423924 0.24016067]",0.35292698268670913,14916.64,"[0.23770491 0.04941435 0.48554807 0.57012663 0.06848116 0.82131359
 0.11300891 0.24967005]"
9,log_likelihood,123,0.2072984915525572,9942.329,"[0.5474269  0.5474269  0.05100562 0.07430472 0.04791243 0.04757593
 0.16115223 0.04757593]",0.19848558571520822,16893.76,"[0.13495867 0.93017427 0.04391384 0.10619301 0.0409114  0.04262708
 0.10890087 0.05189537]"
10,log_likelihood,123,0.37015850845603865,9921.561,"[0.35450947 0.54628338 0.35450947 0.19467237 0.13502686 0.54628338
 0.54628338 0.04441235]",0.3387021033832901,12773.58,"[0.21187231 0.26836025 0.30692773 0.24130585 0.15963447 0.55474225
 0.70331622 0.04450518]"
11,log_likelihood,123,0.20387622020101934,9851.15,"[0.24333077 0.04444313 0.11527973 0.0474595  0.54240658 0.20633057
 0.24333077 0.05663376]",0.13246299255160823,5516.42,"[0.30373534 0.04643064 0.10800449 0.04624509 0.10332217 0.12779809
 0.17652144 0.06201654]"
