"Basal Exp (GFP, au)","4-OHT Induced Exp (GFP, au)","GZV Induced Exp (GFP, au)","Dual Induced Exp (GFP, au)",No. of Barcodes (basal),No. of Barcodes (4-OHT),No. of Barcodes (GZV),No. of Barcodes (Dual),No. of Binding sites,Binding site pattern,Core prom,Term spacing reporter,Prom. SynTF A,AD SynTF A,IDR SynTF A,ZF Affinity SynTF A,Term spacing SynTF A,Prom. SynTF B,AD SynTF B,IDR SynTF B,ZF Affinity SynTF B,Term spacing SynTF B,Orientation 
1631.5,1814.7,1.02E+05,1.97E+05,1,1,1,3,3,1,1,1,5,1,2,3,1,2,1,2,1,1,1
6568.2,5791.3,18585,22286,9,14,9,9,1,2,1,1,5,1,2,3,1,2,1,2,1,1,1
0,0,0,1.98E+05,0,0,0,1,3,3,1,1,5,1,2,3,1,2,1,2,1,1,1
5416.8,5806.8,18414,23753,2,2,2,2,1,4,1,1,5,1,2,3,1,2,1,2,1,1,1
778.85,662.64,919.22,1025.5,9,8,8,8,1,1,2,1,5,1,2,3,1,2,1,2,1,1,1
473.26,726.89,1414,7874.1,6,6,6,6,3,2,2,1,5,1,2,3,1,2,1,2,1,1,1
969.96,1919.7,2566.9,14377,7,12,9,8,3,4,2,1,5,1,2,3,1,2,1,2,1,1,1
408.92,697.95,840.55,1031.3,1,1,1,1,1,1,3,1,5,1,2,3,1,2,1,2,1,1,1
959.53,334.16,2815.3,959.53,1,1,1,1,1,1,2,3,5,1,2,3,1,2,1,2,1,1,1
20104,58525,34136,68243,1,1,1,1,3,2,1,1,2,2,2,3,1,2,1,2,1,1,1
4055.2,998.85,336.25,12070,10,6,6,9,1,2,1,1,5,2,2,3,1,2,1,2,1,1,1
1.05E+05,9853.2,346.59,1.97E+05,1,1,1,1,2,3,1,1,5,2,2,3,1,2,1,2,1,1,1
784.49,780.94,1003.4,3831.8,6,6,6,6,1,1,2,1,5,2,2,3,1,2,1,2,1,1,1
639.82,10126,1859.4,31385,1,1,1,1,3,2,2,1,5,2,2,3,1,2,1,2,1,1,1
329.36,852.48,11986,32047,11,15,12,14,3,4,2,1,5,2,2,3,1,2,1,2,1,1,1
959.53,0,0,0,1,0,0,0,1,2,1,1,3,2,4,3,1,2,1,2,1,1,1
439.72,7449.2,0,0,2,2,0,0,3,1,1,1,5,1,1,4,1,2,1,2,1,1,1
4711.8,3466,11327,16506,1,3,2,1,1,2,1,1,5,1,1,4,1,2,1,2,1,1,1
0,8067.5,28458,8092,0,1,1,1,1,4,1,1,5,1,1,4,1,2,1,2,1,1,1
502.62,416.75,957.59,3595.6,11,12,16,11,1,1,2,1,5,1,1,4,1,2,1,2,1,1,1
0,959.53,0,0,0,2,0,0,3,2,2,1,5,1,1,4,1,2,1,2,1,1,1
549.43,432.38,967.81,1229.9,1,1,2,1,1,3,2,1,5,1,1,4,1,2,1,2,1,1,1
335.89,1613.4,19654,18596,10,11,11,12,3,4,2,1,5,1,1,4,1,2,1,2,1,1,1
15388,17441,8178.7,44395,3,3,3,2,1,2,1,1,5,3,1,4,1,2,1,2,1,1,1
9079.6,22897,7641.3,44395,1,1,1,2,1,4,1,1,5,3,1,4,1,2,1,2,1,1,1
391.53,4458.6,3194.6,1404.7,6,5,4,4,1,1,2,1,5,3,1,4,1,2,1,2,1,1,1
4939.1,68243,8092,68243,3,1,1,1,3,2,2,1,5,3,1,4,1,2,1,2,1,1,1
0,0,23499,0,0,0,2,0,2,3,2,1,5,3,1,4,1,2,1,2,1,1,1
912.16,17905,16724,6292.6,6,5,10,4,3,4,2,1,5,3,1,4,1,2,1,2,1,1,1
0,0,0,8092,0,0,0,1,1,2,1,1,5,4,2,4,1,2,1,2,1,1,1
0,8092,0,2786.5,0,4,0,4,1,1,2,1,5,4,2,4,1,2,1,2,1,1,1
5600.3,23969,20182,10166,1,1,1,1,3,4,2,1,5,4,2,4,1,2,1,2,1,1,1
8092,0,0,0,1,0,0,0,1,2,1,1,3,2,3,4,1,2,1,2,1,1,1
3548.7,17618,289.95,1.91E+05,6,9,9,8,3,1,1,1,2,1,1,6,1,2,1,2,1,1,1
6683.2,1.16E+05,1.13E+05,1.86E+05,9,8,11,10,2,3,1,1,2,1,1,6,1,2,1,2,1,1,1
655.91,2760.9,6386.7,12269,5,3,5,3,3,4,2,1,2,1,1,6,1,2,1,2,1,1,1
5788.1,7779.5,1.17E+05,6016.4,10,12,7,10,3,1,1,1,1,3,1,6,1,2,1,2,1,1,1
5959.1,29883,59821,81795,35,31,34,31,2,3,1,1,1,3,1,6,1,2,1,2,1,1,1
2786.5,23614,7912,23317,1,1,1,1,3,3,1,1,1,3,1,6,1,2,1,2,1,1,1
959.53,0,8092,0,1,0,1,0,3,4,1,1,1,3,1,6,1,2,1,2,1,1,1
330.41,0,0,4753.1,1,0,0,2,3,1,2,1,1,3,1,6,1,2,1,2,1,1,1
615.54,10460,9777.7,7504.9,25,26,25,23,3,4,2,1,1,3,1,6,1,2,1,2,1,1,1
83091,1.36E+05,1.44E+05,34122,7,7,5,7,3,1,1,1,2,4,1,6,1,2,1,2,1,1,1
1.96E+05,1.98E+05,1.27E+05,1.59E+05,9,5,11,9,2,3,1,1,2,4,1,6,1,2,1,2,1,1,1
959.53,0,18082,2786.5,2,0,2,2,3,1,2,1,2,4,1,6,1,2,1,2,1,1,1
24093,23407,15784,4764,5,4,4,5,3,4,2,1,2,4,1,6,1,2,1,2,1,1,1
1.98E+05,1.65E+05,1.94E+05,1.98E+05,2,2,2,2,3,1,1,1,3,2,2,6,1,2,1,2,1,1,1
53445,1.88E+05,1.94E+05,44780,1,1,1,3,2,3,1,1,3,2,2,6,1,2,1,2,1,1,1
7322.9,81295,1.12E+05,1.94E+05,1,1,1,1,3,3,1,1,3,2,2,6,1,2,1,2,1,1,1
412.12,1652.9,17783,17374,4,3,6,6,3,4,2,1,3,2,2,6,1,2,1,2,1,1,1
0,0,17228,23499,0,0,1,1,3,4,3,1,3,2,2,6,1,2,1,2,1,1,1
26059,2700.6,79540,86469,2,2,2,2,2,3,1,1,2,4,2,6,1,2,1,2,1,1,1
53445,1.88E+05,1.94E+05,1.98E+05,1,1,1,1,2,3,1,1,3,2,2,6,2,2,1,2,1,1,1
3758.9,4324.6,1.16E+05,27668,7,6,12,6,1,1,1,1,2,1,1,1,3,2,1,2,1,1,1
0,999.07,15294,0,0,1,1,0,3,1,1,1,2,1,1,1,3,2,1,2,1,1,1
6021.8,31821,8653,40797,5,11,12,11,1,2,1,1,2,1,1,1,3,2,1,2,1,1,1
3429.8,57465,1265.2,1.50E+05,14,17,15,15,2,2,1,1,2,1,1,1,3,2,1,2,1,1,1
2786.5,0,0,0,2,0,0,0,3,2,1,1,2,1,1,1,3,2,1,2,1,1,1
1176.7,5708.3,939.03,10589,7,6,7,7,2,3,1,1,2,1,1,1,3,2,1,2,1,1,1
5060.5,64029,6801.7,1.44E+05,2,3,2,3,2,4,1,1,2,1,1,1,3,2,1,2,1,1,1
360.75,485.8,722.08,1113.1,14,12,9,13,1,1,2,1,2,1,1,1,3,2,1,2,1,1,1
300.41,393.52,690.84,357.03,7,8,8,9,2,1,2,1,2,1,1,1,3,2,1,2,1,1,1
353.91,659.1,18254,11013,8,11,10,9,3,1,2,1,2,1,1,1,3,2,1,2,1,1,1
834.61,811.48,15909,14806,1,1,1,1,3,1,3,1,2,1,1,1,3,2,1,2,1,1,1
2786.5,2587.7,1305.6,2823.7,1,1,1,1,2,4,3,1,2,1,1,1,3,2,1,2,1,1,1
0,68243,0,0,0,1,0,0,1,1,1,1,1,2,1,1,3,2,1,2,1,1,1
19366,60070,39193,51630,7,7,12,7,1,1,1,1,3,3,2,1,3,2,1,2,1,1,1
1192.1,2393.8,1522.3,3477.7,5,7,6,6,1,2,1,1,3,3,2,1,3,2,1,2,1,1,1
3028.7,34656,6207,44332,5,5,5,5,2,2,1,1,3,3,2,1,3,2,1,2,1,1,1
486.34,710.33,484.41,495.52,3,2,2,3,3,2,1,1,3,3,2,1,3,2,1,2,1,1,1
68494,1.96E+05,97779,27576,1,1,1,1,1,3,1,1,3,3,2,1,3,2,1,2,1,1,1
85557,92042,56354,601.27,3,8,3,6,2,3,1,1,3,3,2,1,3,2,1,2,1,1,1
0,8092,0,23499,0,2,0,2,3,3,1,1,3,3,2,1,3,2,1,2,1,1,1
459.09,512.98,330.41,601.95,1,1,1,1,1,4,1,1,3,3,2,1,3,2,1,2,1,1,1
2716,43826,3164.4,36562,1,1,1,1,2,4,1,1,3,3,2,1,3,2,1,2,1,1,1
596.63,710.33,484.41,382.42,2,1,1,1,3,4,1,1,3,3,2,1,3,2,1,2,1,1,1
619.66,705.46,747,3749.1,6,11,16,12,1,1,2,1,3,3,2,1,3,2,1,2,1,1,1
1009.3,959.53,8092,8072.4,3,1,2,4,2,1,2,1,3,3,2,1,3,2,1,2,1,1,1
397.42,1157.6,18709,21034,20,15,15,29,3,1,2,1,3,3,2,1,3,2,1,2,1,1,1
0,0,0,8092,0,0,0,1,1,3,2,1,3,3,2,1,3,2,1,2,1,1,1
43700,62765,31418,69216,3,3,3,3,1,1,1,1,1,4,2,1,3,2,1,2,1,1,1
1.27E+05,1.66E+05,99163,1.39E+05,2,2,2,3,2,2,1,1,1,4,2,1,3,2,1,2,1,1,1
2786.5,2938.8,68243,0,4,4,4,0,3,2,1,1,1,4,2,1,3,2,1,2,1,1,1
7820,51071,43045,70701,4,5,5,5,2,3,1,1,1,4,2,1,3,2,1,2,1,1,1
2786.5,2938.8,68243,0,1,1,1,0,3,4,1,1,1,4,2,1,3,2,1,2,1,1,1
967.09,3015.9,1307.8,3216.8,3,3,3,3,1,1,2,1,1,4,2,1,3,2,1,2,1,1,1
0,508.33,330.41,811.3,0,2,2,2,2,1,2,1,1,4,2,1,3,2,1,2,1,1,1
39961,39961,38050,0,4,4,2,0,3,1,2,1,1,4,2,1,3,2,1,2,1,1,1
354.07,0,0,0,1,0,0,0,1,1,2,1,2,1,1,2,3,2,1,2,1,1,1
0,999.07,15294,0,0,1,1,0,3,1,2,1,2,1,1,2,3,2,1,2,1,1,1
8178.1,33140,8909.5,59196,37,41,37,37,1,1,1,1,1,2,1,2,3,2,1,2,1,1,1
274.08,372.72,334.74,496.82,1,1,1,1,3,1,1,1,1,2,1,2,3,2,1,2,1,1,1
6665.1,21703,6920.5,41017,18,23,23,24,1,2,1,1,1,2,1,2,3,2,1,2,1,1,1
2673.3,1.54E+05,27750,1.86E+05,15,20,20,17,2,2,1,1,1,2,1,2,3,2,1,2,1,1,1
2170,1.18E+05,1674.4,4110.2,13,17,21,20,3,2,1,1,1,2,1,2,3,2,1,2,1,1,1
8055.3,64094,11902,49190,1,1,1,1,1,3,1,1,1,2,1,2,3,2,1,2,1,1,1
3288.2,1.96E+05,1.35E+05,1.66E+05,30,19,27,25,2,3,1,1,1,2,1,2,3,2,1,2,1,1,1
6123.3,19278,8197.5,46603,4,3,4,4,1,4,1,1,1,2,1,2,3,2,1,2,1,1,1
8092,1.17E+05,62162,1.98E+05,1,2,1,1,2,4,1,1,1,2,1,2,3,2,1,2,1,1,1
2172.4,11920,8577.2,7111.4,2,2,4,3,3,4,1,1,1,2,1,2,3,2,1,2,1,1,1
445.32,1017.3,945.58,2724.1,32,30,29,32,1,1,2,1,1,2,1,2,3,2,1,2,1,1,1
635.45,1053.3,8281.5,21787,15,13,20,17,2,1,2,1,1,2,1,2,3,2,1,2,1,1,1
355.16,663.39,16680,20981,24,27,28,27,3,1,2,1,1,2,1,2,3,2,1,2,1,1,1
2786.5,2786.5,1991.5,0,1,1,1,0,3,3,2,1,1,2,1,2,3,2,1,2,1,1,1
325.07,385.1,16239,20663,1,1,1,1,3,3,3,1,1,2,1,2,3,2,1,2,1,1,1
50189,67914,1223.2,60071,3,3,5,3,1,1,1,1,1,4,2,2,3,2,1,2,1,1,1
32574,1.02E+05,16837,42475,6,9,6,6,1,2,1,1,1,4,2,2,3,2,1,2,1,1,1
1.84E+05,1.14E+05,71918,41215,2,2,2,2,3,2,1,1,1,4,2,2,3,2,1,2,1,1,1
68243,67909,0,68243,1,1,0,1,1,3,1,1,1,4,2,2,3,2,1,2,1,1,1
28168,31144,80882,35032,5,5,4,5,2,3,1,1,1,4,2,2,3,2,1,2,1,1,1
13803,2938.8,55900,0,2,1,2,0,3,4,1,1,1,4,2,2,3,2,1,2,1,1,1
959.53,959.53,1934.3,694.24,1,2,4,2,1,1,2,1,1,4,2,2,3,2,1,2,1,1,1
2700.3,19437,15031,18370,13,8,8,8,2,1,2,1,1,4,2,2,3,2,1,2,1,1,1
8049.2,15736,24462,6896.2,5,3,7,6,3,1,2,1,1,4,2,2,3,2,1,2,1,1,1
0,959.53,480.27,694.24,0,1,1,1,1,1,3,1,1,4,2,2,3,2,1,2,1,1,1
54719,23562,3146.9,65763,1,2,2,2,1,1,1,1,2,2,2,3,3,2,1,2,1,1,1
50035,25070,23571,1.18E+05,7,4,6,6,1,2,1,1,2,2,2,3,3,2,1,2,1,1,1
56192,1.82E+05,11178,1.72E+05,10,12,11,12,2,2,1,1,2,2,2,3,3,2,1,2,1,1,1
23567,66374,54474,1.70E+05,5,5,4,5,3,2,1,1,2,2,2,3,3,2,1,2,1,1,1
13860,803.03,275.99,985.49,2,3,5,3,2,3,1,1,2,2,2,3,3,2,1,2,1,1,1
0,1.96E+05,0,1.98E+05,0,1,0,2,2,4,1,1,2,2,2,3,3,2,1,2,1,1,1
36625,94402,75326,1.16E+05,2,3,2,2,3,4,1,1,2,2,2,3,3,2,1,2,1,1,1
959.53,2515.1,4587.9,7073.3,2,2,5,4,1,1,2,1,2,2,2,3,3,2,1,2,1,1,1
23346,6098.3,24792,31790,4,2,4,5,2,1,2,1,2,2,2,3,3,2,1,2,1,1,1
9698.9,22664,27803,29957,7,9,7,6,3,1,2,1,2,2,2,3,3,2,1,2,1,1,1
23460,113.78,27488,37784,1,1,1,1,3,1,3,1,2,2,2,3,3,2,1,2,1,1,1
571.35,1262.7,864.9,1649.1,1,1,1,1,1,1,3,1,1,2,1,4,3,2,1,2,1,1,1
24370,1.18E+05,2429.3,43331,2,3,4,5,1,1,1,1,3,4,2,4,3,2,1,2,1,1,1
1.34E+05,1.88E+05,66253,1.08E+05,5,5,6,5,2,2,1,1,3,4,2,4,3,2,1,2,1,1,1
959.53,12087,987.23,959.53,1,4,1,1,3,2,1,1,3,4,2,4,3,2,1,2,1,1,1
12787,0,0,0,3,0,0,0,2,3,1,1,3,4,2,4,3,2,1,2,1,1,1
8377.6,2190.2,65520,2786.5,1,1,1,1,2,4,1,1,3,4,2,4,3,2,1,2,1,1,1
0,330.41,0,8092,0,2,0,2,1,1,2,1,3,4,2,4,3,2,1,2,1,1,1
713.29,720.49,5240.2,7391.3,3,3,2,2,2,1,2,1,3,4,2,4,3,2,1,2,1,1,1
20748,22944,22153,10231,4,8,4,5,3,1,2,1,3,4,2,4,3,2,1,2,1,1,1
962.16,88566,66071,0,2,1,1,0,2,1,1,1,6,1,1,1,1,3,1,2,1,1,1
465.17,381.96,471.88,866,6,6,6,6,3,4,1,1,6,1,1,1,1,3,1,2,1,1,1
450.89,1817.2,3118.5,1127.6,7,1,1,7,1,1,2,1,6,1,1,1,1,3,1,2,1,1,1
1395.6,1073.1,4857.5,959.53,4,4,1,2,1,2,2,1,6,1,1,1,1,3,1,2,1,1,1
330.41,330.41,3022.2,11211,3,3,3,3,2,3,2,1,6,1,1,1,1,3,1,2,1,1,1
330.41,34073,23791,1.60E+05,2,7,3,15,2,4,1,1,3,2,4,1,1,3,1,2,1,1,1
330.41,806.08,2277.7,8092,1,1,2,1,1,2,2,1,3,2,4,1,1,3,1,2,1,1,1
43439,7596.4,2037.9,6465,3,2,1,1,2,2,2,1,3,2,4,1,1,3,1,2,1,1,1
910.31,7274.3,670.65,430.3,10,14,8,8,3,2,2,1,3,2,4,1,1,3,1,2,1,1,1
848.33,1.13E+05,37708,1.96E+05,5,5,3,2,3,3,2,1,3,2,4,1,1,3,1,2,1,1,1
959.53,554.82,861.43,340.47,1,1,3,1,3,4,2,1,3,2,4,1,1,3,1,2,1,1,1
959.53,5665.3,759.47,8092,1,1,1,1,3,2,3,1,3,2,4,1,1,3,1,2,1,1,1
0,959.53,984.01,959.53,0,1,1,1,3,3,2,1,1,4,4,1,1,3,1,2,1,1,1
1.88E+05,1.93E+05,1.29E+05,9595.5,3,3,3,3,2,4,1,1,2,4,4,1,1,3,1,2,1,1,1
0,0,959.53,0,0,0,2,0,1,2,2,1,2,4,4,1,1,3,1,2,1,1,1
0,959.53,4479.2,959.53,0,1,2,1,3,3,2,1,2,4,4,1,1,3,1,2,1,1,1
556.07,0,330.41,283.13,6,0,6,6,3,1,1,1,5,1,1,2,1,3,1,2,1,1,1
953.69,12541,2094.8,10703,9,8,5,2,1,2,1,1,5,1,1,2,1,3,1,2,1,1,1
959.53,23499,0,0,1,2,0,0,1,4,1,1,5,1,1,2,1,3,1,2,1,1,1
374.2,481.92,822.52,526.05,12,14,23,11,1,1,2,1,5,1,1,2,1,3,1,2,1,1,1
959.53,0,0,0,2,0,0,0,3,2,2,1,5,1,1,2,1,3,1,2,1,1,1
8092,0,2786.5,0,1,0,1,0,3,3,2,1,5,1,1,2,1,3,1,2,1,1,1
543.73,3178.3,6229.6,1190.5,20,17,19,24,3,4,2,1,5,1,1,2,1,3,1,2,1,1,1
8092,0,2786.5,0,1,0,1,0,3,4,3,1,5,1,1,2,1,3,1,2,1,1,1
0,68243,0,0,0,1,0,0,1,1,2,1,6,4,1,2,1,3,1,2,1,1,1
4145.2,2107.1,36907,66795,4,1,4,4,1,2,2,1,6,4,1,2,1,3,1,2,1,1,1
330.41,959.53,626.02,1237,1,1,1,1,3,3,2,1,6,4,1,2,1,3,1,2,1,1,1
1208.9,16098,2786.5,0,1,1,1,0,3,1,1,1,5,1,2,2,1,3,1,2,1,1,1
698.26,3081.8,1278.8,14021,11,11,9,9,1,2,1,1,5,1,2,2,1,3,1,2,1,1,1
2798.4,43802,1641.4,49765,1,2,1,1,1,4,1,1,5,1,2,2,1,3,1,2,1,1,1
359.19,3251.8,398.39,330.41,3,3,1,2,1,1,2,1,5,1,2,2,1,3,1,2,1,1,1
393,23499,0,598.3,2,3,0,6,3,4,2,1,5,1,2,2,1,3,1,2,1,1,1
1402.7,8092,1486.8,959.53,5,2,3,3,1,2,1,1,5,3,2,2,1,3,1,2,1,1,1
295.87,1460.3,346.91,499.21,3,5,2,2,1,1,2,1,5,3,2,2,1,3,1,2,1,1,1
959.53,0,0,0,1,0,0,0,1,3,2,1,5,3,2,2,1,3,1,2,1,1,1
272.29,168.4,511.21,205.24,7,6,2,6,3,4,2,1,5,3,2,2,1,3,1,2,1,1,1
0,1.98E+05,8092,0,0,1,1,0,1,4,1,1,5,4,2,2,1,3,1,2,1,1,1
330.41,0,959.53,959.53,1,0,1,1,3,2,2,1,2,4,4,2,1,3,1,2,1,1,1
0,0,0,330.41,0,0,0,1,3,3,2,1,2,4,4,2,1,3,1,2,1,1,1
8092,23974,68739,1.97E+05,2,2,2,2,3,3,1,1,6,4,1,3,1,3,1,2,1,1,1
0,0,2786.5,0,0,0,1,0,1,2,1,1,4,1,2,3,1,3,1,2,1,1,1
1012.3,1188.9,1438.4,1404.9,3,3,5,2,1,2,1,1,5,1,2,3,1,3,1,2,1,1,1
345.76,629.9,344.92,897.62,4,4,1,4,1,1,2,1,5,1,2,3,1,3,1,2,1,1,1
959.53,959.53,0,0,5,5,0,0,3,2,2,1,5,1,2,3,1,3,1,2,1,1,1
868.43,679.45,19505,638.86,18,7,17,10,3,4,2,1,5,1,2,3,1,3,1,2,1,1,1
330.41,0,0,0,6,0,0,0,3,1,1,1,5,2,2,3,1,3,1,2,1,1,1
471.28,1412.6,8179.8,4607.4,12,10,8,13,1,2,1,1,5,2,2,3,1,3,1,2,1,1,1
514.23,681.49,743.22,1789.6,2,2,2,2,1,1,2,1,5,2,2,3,1,3,1,2,1,1,1
2786.5,2899.3,1132.4,22483,1,1,1,1,3,2,2,1,5,2,2,3,1,3,1,2,1,1,1
30343,386.08,17581,730.75,7,2,8,4,3,4,2,1,5,2,2,3,1,3,1,2,1,1,1
3434.6,4835.4,6912.3,6722.1,9,12,10,14,1,2,1,1,5,1,1,4,1,3,1,2,1,1,1
2786.5,0,0,330.41,1,0,0,1,1,4,1,1,5,1,1,4,1,3,1,2,1,1,1
341.13,794.18,6267,855.09,4,8,11,6,1,1,2,1,5,1,1,4,1,3,1,2,1,1,1
427.91,1042.3,896.77,4790,15,15,20,17,3,4,2,1,5,1,1,4,1,3,1,2,1,1,1
2786.5,0,0,0,7,0,0,0,3,1,1,1,5,3,1,4,1,3,1,2,1,1,1
1450.4,42192,985.19,66413,16,11,7,10,1,2,1,1,5,3,1,4,1,3,1,2,1,1,1
857.06,915.38,1718.4,1330,1,4,2,7,1,1,2,1,5,3,1,4,1,3,1,2,1,1,1
113.78,0,4816.7,23183,27,0,27,27,3,1,2,1,5,3,1,4,1,3,1,2,1,1,1
0,0,0,959.53,0,0,0,2,3,2,2,1,5,3,1,4,1,3,1,2,1,1,1
0,0,551.46,23626,0,0,1,1,2,3,2,1,5,3,1,4,1,3,1,2,1,1,1
0,68243,68243,0,0,1,1,0,3,3,2,1,5,3,1,4,1,3,1,2,1,1,1
531.03,23199,20897,29761,12,19,19,15,3,4,2,1,5,3,1,4,1,3,1,2,1,1,1
393,23499,0,3497.9,1,1,0,1,3,4,2,1,5,1,2,4,1,3,1,2,1,1,1
0,1.98E+05,8092,0,0,1,1,0,1,2,1,1,5,4,2,4,1,3,1,2,1,1,1
564.02,576.26,330.41,571.3,4,3,3,3,1,1,2,1,5,4,2,4,1,3,1,2,1,1,1
0,0,959.53,0,0,0,1,0,2,3,2,1,5,4,2,4,1,3,1,2,1,1,1
320.09,393.96,404.85,533.27,1,1,1,1,3,4,2,1,5,4,2,4,1,3,1,2,1,1,1
504.66,576.26,330.41,571.3,1,1,1,1,1,1,2,2,5,4,2,4,1,3,1,2,1,1,1
0,1562.3,8092,17313,0,3,1,3,1,2,1,1,1,3,4,4,1,3,1,2,1,1,1
0,5191.3,2786.5,0,0,2,2,0,3,2,1,1,1,3,4,4,1,3,1,2,1,1,1
2586.5,2786.5,929.42,68243,1,1,1,1,3,3,1,1,1,3,4,4,1,3,1,2,1,1,1
0,1245.7,0,23499,0,1,0,1,1,4,1,1,1,3,4,4,1,3,1,2,1,1,1
1467.6,13140,14149,43720,1,1,1,1,2,4,1,1,1,3,4,4,1,3,1,2,1,1,1
2786.5,958.64,959.53,8092,2,2,1,1,2,2,2,1,1,3,4,4,1,3,1,2,1,1,1
443.52,3305.8,1867.7,1140.2,13,13,13,13,3,2,2,1,1,3,4,4,1,3,1,2,1,1,1
435.56,2617.7,3579.1,6677.3,7,10,6,4,3,3,2,1,1,3,4,4,1,3,1,2,1,1,1
0,68243,0,0,0,1,0,0,2,4,1,1,3,4,4,4,1,3,1,2,1,1,1
0,0,0,8698.6,0,0,0,3,1,2,2,1,3,4,4,4,1,3,1,2,1,1,1
740.81,0,0,0,3,0,0,0,2,2,2,1,3,4,4,4,1,3,1,2,1,1,1
0,0,2786.5,4900.6,0,0,1,3,3,2,2,1,3,4,4,4,1,3,1,2,1,1,1
330.41,0,0,0,1,0,0,0,1,1,1,1,1,4,2,1,3,3,1,2,1,1,1
0,0,5905.8,0,0,0,1,0,3,4,2,1,3,2,2,2,1,5,1,2,1,1,1
0,0,75486,0,0,0,6,0,1,2,2,2,3,3,1,1,1,1,2,2,1,1,1
304.5,1031.8,3117.8,8253.5,1,1,1,1,3,3,2,2,3,3,1,1,1,1,2,2,1,1,1
0,0,75486,0,0,0,1,0,1,4,2,2,3,3,1,1,1,1,2,2,1,1,1
64329,1.78E+05,1.21E+05,46520,1,1,1,1,3,4,1,2,3,4,1,1,1,1,2,2,1,1,1
0,0,23499,0,0,0,1,0,2,4,1,1,1,2,2,1,1,1,2,2,1,1,1
0,8092,0,0,0,1,0,0,3,3,2,1,5,1,1,2,1,1,2,2,1,1,1
0,0,75486,0,0,0,3,0,1,2,2,2,3,3,1,2,1,1,2,2,1,1,1
0,0,0,23499,0,0,0,2,3,3,2,2,2,1,1,4,1,1,2,2,1,1,1
0,0,187.85,50154,0,0,1,1,3,3,1,1,1,1,2,4,1,1,2,2,1,1,1
0,0,1.98E+05,0,0,0,1,0,3,4,1,2,2,3,2,4,1,1,2,2,1,1,1
959.53,874.43,3558.9,4708.8,2,2,2,2,3,3,2,2,2,3,2,4,1,1,2,2,1,1,1
3778.2,1.16E+05,16935,75629,18,18,18,18,2,4,1,1,1,2,1,5,1,1,2,2,1,1,1
8092,0,13588,0,1,0,1,0,2,1,2,1,1,2,1,5,1,1,2,2,1,1,1
0,0,68243,0,0,0,1,0,3,3,2,1,1,2,1,5,1,1,2,2,1,1,1
988.88,8072.4,1818.4,5061.8,3,3,2,4,1,2,1,1,1,4,1,5,1,1,2,2,1,1,1
68243,0,1.32E+05,1.82E+05,2,0,2,1,2,3,1,1,1,4,1,5,1,1,2,2,1,1,1
65481,1.30E+05,76167,1.10E+05,98,89,122,90,2,4,1,1,1,4,1,5,1,1,2,2,1,1,1
1035.9,7599.1,9547,938.83,108,89,106,89,2,1,2,1,1,4,1,5,1,1,2,2,1,1,1
389.42,475.35,8857,553.16,9,7,11,7,3,1,2,1,1,4,1,5,1,1,2,2,1,1,1
952.57,2381.7,2750.7,3451.6,109,85,102,96,1,2,2,1,1,4,1,5,1,1,2,2,1,1,1
530.42,763.8,1369,2673,1,1,1,2,2,3,2,1,1,4,1,5,1,1,2,2,1,1,1
3174.9,17176,9036.6,4241.9,58,46,55,44,3,3,2,1,1,4,1,5,1,1,2,2,1,1,1
758.53,559.25,795.65,330.41,1,1,1,1,1,4,2,1,1,4,1,5,1,1,2,2,1,1,1
2043.6,6093.2,10743,1636.7,8,5,9,2,3,4,2,1,1,4,1,5,1,1,2,2,1,1,1
68243,330.41,959.53,2390.2,1,1,1,2,2,1,3,1,1,4,1,5,1,1,2,2,1,1,1
0,959.53,0,0,0,1,0,0,3,3,3,1,1,4,1,5,1,1,2,2,1,1,1
0,1.98E+05,0,0,0,1,0,0,2,4,3,1,1,4,1,5,1,1,2,2,1,1,1
711.76,2484.6,1436.3,884.39,2,2,3,1,2,1,4,1,1,4,1,5,1,1,2,2,1,1,1
4174.9,0,2786.5,2786.5,1,0,1,1,1,2,2,2,1,4,1,5,1,1,2,2,1,1,1
959.53,330.41,523.95,330.41,1,1,1,1,3,3,2,2,1,4,1,5,1,1,2,2,1,1,1
12024,2983.4,1140.3,2565.1,1,1,1,1,2,1,2,1,4,4,1,5,1,1,2,2,1,1,1
2783.9,5914.7,3998.8,8092,2,1,2,1,1,2,2,1,4,4,1,5,1,1,2,2,1,1,1
0,0,68243,0,0,0,1,0,3,3,2,1,4,4,1,5,1,1,2,2,1,1,1
932.25,991.43,4367.7,1004.1,2,1,2,2,1,2,1,1,1,1,2,5,1,1,2,2,1,1,1
2783.9,2422.9,7035.8,11067,2,1,3,1,2,3,1,1,1,1,2,5,1,1,2,2,1,1,1
1199.4,3490.1,5648.6,3341.3,51,75,46,71,2,4,1,1,1,1,2,5,1,1,2,2,1,1,1
466.09,524.16,1860.5,2038.6,26,24,33,32,2,1,2,1,1,1,2,5,1,1,2,2,1,1,1
390.6,623.02,1326.3,7829.1,12,8,14,10,3,1,2,1,1,1,2,5,1,1,2,2,1,1,1
940.43,945.98,838.48,954.2,42,46,51,61,1,2,2,1,1,1,2,5,1,1,2,2,1,1,1
737.24,458.39,1083.4,3114.5,38,40,38,45,3,3,2,1,1,1,2,5,1,1,2,2,1,1,1
