Variant,Expression,Promoter,Kozaks,Terminators
222,858.60,6,4,5
223,1228.14,7,4,5
224,1443.31,8,4,5
225,902.73,1,5,5
226,2324.55,2,5,5
227,736.82,3,5,5
228,956.49,4,5,5
229,1168.23,5,5,5
230,721.78,6,5,5
231,870.18,7,5,5
232,1191.81,8,5,5
233,4450.74,1,6,5
234,14566.41,2,6,5
235,973.80,3,6,5
236,1074.42,4,6,5
237,7861.01,5,6,5
238,1066.01,6,6,5
239,1648.00,7,6,5
240,1240.00,8,6,5
241,3419.13,1,1,6
242,10354.60,2,1,6
243,750.73,3,1,6
244,1024.43,4,1,6
245,3317.10,5,1,6
246,1077.15,6,1,6
247,942.52,7,1,6
248,1033.22,8,1,6
249,1894.61,1,2,6
250,4317.18,2,2,6
251,902.84,3,2,6
252,945.83,4,2,6
253,2184.39,5,2,6
254,861.08,6,2,6
255,749.05,7,2,6
256,947.10,8,2,6
257,6676.65,1,3,6
258,16893.76,2,3,6
259,1142.75,3,3,6
260,1562.64,4,3,6
261,8561.71,5,3,6
262,959.81,6,3,6
263,1126.34,7,3,6
264,1113.77,8,3,6
265,5516.42,1,4,6
266,16591.07,2,4,6
267,794.21,3,4,6
268,1185.65,4,4,6
269,9555.68,5,4,6
270,1061.16,6,4,6
271,1118.20,7,4,6
272,1282.67,8,4,6
273,1027.54,1,5,6
274,2451.11,2,5,6
275,731.69,3,5,6
276,742.52,4,5,6
277,1122.75,5,5,6
278,888.90,6,5,6
279,843.27,7,5,6
280,734.03,8,5,6
281,4382.58,1,6,6
282,14719.70,2,6,6
283,825.07,3,6,6
284,1128.58,4,6,6
285,8015.31,5,6,6
286,878.74,6,6,6
287,1928.67,7,6,6
288,1649.83,8,6,6
289,1977.85,1,1,7
290,9837.20,2,1,7
291,945.81,3,1,7
292,768.67,4,1,7
293,2654.00,5,1,7
294,752.71,6,1,7
295,897.46,7,1,7
296,1010.81,8,1,7
297,1925.31,1,2,7
298,4230.75,2,2,7
299,875.80,3,2,7
300,962.06,4,2,7
301,1676.31,5,2,7
302,763.06,6,2,7
303,797.56,7,2,7
304,754.03,8,2,7
305,3848.01,1,3,7
306,16415.85,2,3,7
307,698.83,3,3,7
308,1131.41,4,3,7
309,6294.92,5,3,7
310,981.36,6,3,7
311,1099.41,7,3,7
312,1115.54,8,3,7
313,3531.96,1,4,7
314,15979.70,2,4,7
315,724.21,3,4,7
316,1133.31,4,4,7
317,6095.98,5,4,7
318,1056.85,6,4,7
319,1108.31,7,4,7
320,1166.39,8,4,7
321,906.92,1,5,7
322,2239.80,2,5,7
323,755.91,3,5,7
324,702.22,4,5,7
325,986.44,5,5,7
326,726.71,6,5,7
327,743.03,7,5,7
328,1075.70,8,5,7
329,2519.90,1,6,7
330,12868.29,2,6,7
331,791.59,3,6,7
332,1045.71,4,6,7
333,5803.80,5,6,7
334,1006.01,6,6,7
335,1156.79,7,6,7
336,1188.83,8,6,7
337,2030.07,1,1,8
338,8818.49,2,1,8
339,803.05,3,1,8
340,875.04,4,1,8
341,2690.97,5,1,8
342,919.66,6,1,8
343,921.05,7,1,8
344,1149.23,8,1,8
345,1266.93,1,2,8
346,3819.44,2,2,8
347,741.18,3,2,8
348,818.23,4,2,8
349,1640.45,5,2,8
350,735.78,6,2,8
351,785.33,7,2,8
352,936.33,8,2,8
353,4233.07,1,3,8
354,14916.64,2,3,8
355,940.90,3,3,8
356,1014.77,4,3,8
357,6058.30,5,3,8
358,805.31,6,3,8
359,907.87,7,3,8
360,1156.23,8,3,8
361,3205.97,1,4,8
362,15367.79,2,4,8
363,836.79,3,4,8
364,1027.13,4,4,8
365,5956.45,5,4,8
